AHPA,NASDAQ,AVISTA HEALTHCARE PUBLIC ACQUISITION CORP.,HEALTH CARE,BIOTECHNOLOGY: COMMERCIAL PHYSICAL & BIOLOGICAL RESARCH
AHPAU,NASDAQ,AVISTA HEALTHCARE PUBLIC ACQUISITION CORP.,HEALTH CARE,BIOTECHNOLOGY: COMMERCIAL PHYSICAL & BIOLOGICAL RESARCH
AHPAW,NASDAQ,AVISTA HEALTHCARE PUBLIC ACQUISITION CORP.,HEALTH CARE,BIOTECHNOLOGY: COMMERCIAL PHYSICAL & BIOLOGICAL RESARCH
AVT,NASDAQ,"AVNET, INC.",CONSUMER NON-DURABLES,ELECTRONIC COMPONENTS
AWRE,NASDAQ,"AWARE, INC.",TECHNOLOGY,COMPUTER SOFTWARE: PREPACKAGED SOFTWARE
ACLS,NASDAQ,"AXCELIS TECHNOLOGIES, INC.",TECHNOLOGY,INDUSTRIAL MACHINERY/COMPONENTS
AXGN,NASDAQ,"AXOGEN, INC.",HEALTH CARE,BIOTECHNOLOGY: ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS
AAXN,NASDAQ,"AXON ENTERPRISE, INC.",CAPITAL GOODS,ORDNANCE AND ACCESSORIES
AXON,NASDAQ,AXOVANT SCIENCES LTD.,HEALTH CARE,MAJOR PHARMACEUTICALS
AXSM,NASDAQ,"AXSOME THERAPEUTICS, INC.",HEALTH CARE,MAJOR PHARMACEUTICALS
AXTI,NASDAQ,AXT INC,TECHNOLOGY,SEMICONDUCTORS
AYTU,NASDAQ,"AYTU BIOSCIENCE, INC.",HEALTH CARE,MAJOR PHARMACEUTICALS
AZRX,NASDAQ,"AZURRX BIOPHARMA, INC.",HEALTH CARE,MAJOR PHARMACEUTICALS
BCOM,NASDAQ,B COMMUNICATIONS LTD.,CONSUMER SERVICES,TELECOMMUNICATIONS EQUIPMENT
RILY,NASDAQ,"B. RILEY FINANCIAL, INC.",MISCELLANEOUS,BUSINESS SERVICES
RILYG,NASDAQ,"B. RILEY FINANCIAL, INC.",MISCELLANEOUS,BUSINESS SERVICES
RILYL,NASDAQ,"B. RILEY FINANCIAL, INC.",MISCELLANEOUS,BUSINESS SERVICES
RILYZ,NASDAQ,"B. RILEY FINANCIAL, INC.",MISCELLANEOUS,BUSINESS SERVICES
BOSC,NASDAQ,B.O.S. BETTER ONLINE SOLUTIONS,TECHNOLOGY,COMPUTER COMMUNICATIONS EQUIPMENT
BIDU,NASDAQ,"BAIDU, INC.",TECHNOLOGY,"COMPUTER SOFTWARE: PROGRAMMING, DATA PROCESSING"
BCPC,NASDAQ,BALCHEM CORPORATION,BASIC INDUSTRIES,MAJOR CHEMICALS
BWINA,NASDAQ,"BALDWIN & LYONS, INC.",FINANCE,PROPERTY-CASUALTY INSURERS
BWINB,NASDAQ,"BALDWIN & LYONS, INC.",FINANCE,PROPERTY-CASUALTY INSURERS
BLDP,NASDAQ,"BALLARD POWER SYSTEMS, INC.",ENERGY,INDUSTRIAL MACHINERY/COMPONENTS
BANF,NASDAQ,BANCFIRST CORPORATION,FINANCE,MAJOR BANKS
BANFP,NASDAQ,BANCFIRST CORPORATION,FINANCE,MAJOR BANKS
BCTF,NASDAQ,"BANCORP 34, INC.",FINANCE,SAVINGS INSTITUTIONS
BAND,NASDAQ,BANDWIDTH INC.,TECHNOLOGY,COMPUTER SOFTWARE: PREPACKAGED SOFTWARE
BOCH,NASDAQ,BANK OF COMMERCE HOLDINGS (CA),FINANCE,MAJOR BANKS
BMRC,NASDAQ,BANK OF MARIN BANCORP,FINANCE,MAJOR BANKS
BMLP,NASDAQ,BANK OF MONTREAL,FINANCE,COMMERCIAL BANKS
BKSC,NASDAQ,BANK OF SOUTH CAROLINA CORP.,FINANCE,MAJOR BANKS
